%trk_id,qual,P_rng1,P_AZ,P_EL,P_HGT,P_TIME,M_rng1,M_AZ,M_EL,M_TIME,F_X,F_Y,F_Z,F_VX,F_VY,F_VZ,F_AX,F_AY,F_AZ,rng1_MIN,rng1_MAX,AZ_MIN,AZ_MAX,EL_MIN,EL_MAX,F_TIM
57,14,25.686625,339.878479,0.1,0.044832,54928.96094,25.71604,339.725159,0.01,54928.94141,-8889.84375,24121.5957,-3.588772,32.793419,15.994016,-42.757214,0,0,0,24.235949,27.131887,338.744934,340.744934,0,2.547869,54928.94141
57,14,25.709452,339.809448,0.1,0.044871,54929.44141,25.692486,339.872559,0.01,54929.51563,-8856.405273,24126.33008,-9.469049,39.611412,14.687515,-36.556461,0,0,0,24.240099,27.1751,338.768982,340.768982,0,2.492002,54929.51563
57,14,25.700594,339.889679,0.1,0.044856,54930.01563,25.692486,339.825958,0.01,54929.99609,-8851.388672,24122.90234,-7.915125,33.694683,10.373401,-28.621782,0,0,0,24.240099,27.1751,338.768982,340.768982,0,2.492002,54929.99609
57,14,25.695879,339.894501,0.099984,0.044841,54930.49609,25.695293,339.738678,0.01,54930.51953,-8879.647461,24112.36719,16.019522,15.008535,3.324986,-40.15284,0,0,0,24.228378,27.16338,338.894501,340.894501,0,2.599984,54930.51953
57,11,25.695536,339.851776,0.099959,0.044829,54932.01953,26.411997,340.09137,0.01,54932.00781,-8960.391602,24673.3418,13.982035,-42.731369,295.442505,-56.411686,0,0,0,24.695536,26.695536,338.851776,340.851776,0,2.099959,54932.00781
57,11,26.257042,340.036102,0.1,0.045827,54933.50781,26.257042,340.036102,0.1,54933.50781,-8964.878906,24679.16406,45.827156,-42.731369,295.442505,-56.411686,0,0,0,25.257042,27.257042,339.036102,341.036102,0,2.026683,54933.50781
57,10,26.686338,340.245117,-0.149783,-0.069764,54933.99219,26.686338,340.245117,-0.149783,54933.99219,-9019.874023,25115.68555,-69.763512,-42.731369,295.442505,-56.411686,0,0,0,25.686338,27.686338,339.245117,341.245117,0,1.850217,54933.99219
57,11,26.98246,340.378448,0.099976,0.047082,54934.50391,27.281652,339.476013,0.01,54934.47656,-9424.740234,25511.95117,16.57975,-164.436951,328.62146,-66.628212,0,0,0,25.98246,27.98246,339.378448,341.378448,0,2.099976,54934.47656
57,11,27.207935,339.717834,0.1,0.047487,54935.97656,27.207935,339.717834,0.1,54935.97656,-9431.449219,25520.91797,47.486782,-164.436951,328.62146,-66.628212,0,0,0,26.207935,28.207935,338.717834,340.717834,0,2.1,54935.97656
57,10,27.771353,339.611176,0.1,0.04847,54936.54297,27.771353,339.611176,0.1,54936.54297,-9675.229492,26031.43555,48.470131,-164.436951,328.62146,-66.628212,0,0,0,26.771353,28.771353,338.611176,340.611176,0,1.818867,54936.54297
57,8,28.138842,339.524506,0.099981,0.049102,54937.05078,27.286324,339.100525,0.159806,54937.05469,-9763.456055,25726.66602,68.757462,-144.879898,160.413452,-61.78788,0,0,0,27.138842,29.138842,338.524506,340.524506,0,2.099981,54937.05469
57,8,27.523396,339.212769,0.139114,0.066827,54938.55469,27.523396,339.212769,0.139114,54938.55469,-9767.991211,25731.67773,66.826591,-144.879898,160.413452,-61.78788,0,0,0,26.523396,28.523396,338.212769,340.212769,0,2.139114,54938.55469
57,7,27.834486,338.974731,0.1,0.04858,54939.12109,27.834486,338.974731,0.1,54939.12109,-9986.436523,25981.28711,48.580318,-144.879898,160.413452,-61.78788,0,0,0,26.834486,28.834486,337.974731,339.974731,0,1.942291,54939.12109
57,6,27.93931,338.903107,-0.122346,-0.05966,54939.63281,27.93931,338.903107,-0.122346,54939.63281,-10056.63086,26066.5625,-59.659885,-144.879898,160.413452,-61.78788,0,0,0,26.93931,28.93931,337.903107,339.903107,0,1.877654,54939.63281
57,7,28.146116,338.733337,0.099972,0.049111,54940.16016,27.291204,338.722137,0.008222,54940.13672,-10028.84961,25746.30469,22.471558,-108.124405,41.074699,-67.277885,0,0,0,27.146116,29.146116,337.733337,339.733337,0,2.099972,54940.13672
57,7,27.632425,338.710938,0.1,0.048228,54941.63672,27.632425,338.710938,0.1,54941.63672,-10032.58691,25746.76172,48.227657,-108.124405,41.074699,-67.277885,0,0,0,26.632425,28.632425,337.710938,339.710938,0,2.042783,54941.63672
57,6,27.749287,338.458679,0.1,0.048432,54942.14453,27.749287,338.458679,0.1,54942.14453,-10188.75391,25811.04102,48.431618,-108.124405,41.074699,-67.277885,0,0,0,26.749287,28.749287,337.458679,339.458679,0,2.1,54942.14453
57,7,27.831049,338.275543,0.09998,0.048565,54942.6875,27.292475,338.649811,0.036507,54942.67578,-10184.89356,25697.05469,38.570938,-86.948593,2.125732,-69.126709,0,0,0,26.831049,28.831049,337.275543,339.275543,0,2.09998,54942.67578
